year,quarter,score
2016,2,-0.9720221161842346
2016,2,-0.9982059001922607
2016,2,0.9972309470176697
2016,2,-0.9946452379226685
2016,2,-0.9791801571846008
2016,2,-0.9996113181114197
2016,2,0.967341423034668
2016,1,-0.9995927214622498
2016,1,-0.9908140301704407
2016,1,0.9967331886291504
2016,1,0.9823278188705444
2016,1,0.9995812773704529
2016,1,-0.9994112253189087
2015,4,-0.6690636873245239
2015,4,0.9970325231552124
2015,4,-0.9901346564292908
2015,4,0.8278147578239441
2015,4,-0.9990925788879395
2015,4,0.9749972224235535
2015,4,0.9878721237182617
2015,4,-0.8926634192466736
2015,4,0.9983127117156982
2015,4,-0.9987311959266663
2015,4,-0.9954013824462891
2015,4,0.908917248249054
2015,4,0.9979720711708069
2015,4,0.8918628692626953
2015,4,0.9996277093887329
2015,3,0.9442803263664246
2015,3,0.9917819499969482
2015,3,0.9497382640838623
2015,3,-0.9826552867889404
2015,3,-0.9997578263282776
2015,3,0.9992089867591858
2015,3,-0.9996682405471802
2015,2,0.5062994360923767
2015,2,0.9955151677131653
2015,2,0.9970723390579224
2015,2,-0.999603807926178
2015,2,-0.9991542100906372
2015,2,0.9977275729179382
2015,2,0.9880601763725281
2015,2,0.9868952035903931
2015,2,0.9996196031570435
2015,2,-0.9652070999145508
2015,2,0.9204741716384888
2015,2,0.9972913861274719
2015,2,-0.9995836615562439
2015,1,-0.8239240646362305
2015,1,0.9873308539390564
2015,1,0.9153902530670166
2015,1,0.8696574568748474
2015,1,-0.9972321391105652
2015,1,-0.9806020259857178
2015,1,0.9931851029396057
2015,1,0.9993739724159241
2014,4,0.9996001124382019
2014,4,0.5663040280342102
2014,4,-0.998813271522522
2014,4,0.9922103881835938
2014,4,-0.9993197917938232
2014,4,-0.9956929087638855
2014,4,-0.9997788071632385
2014,4,0.9886940121650696
2014,4,-0.9995104074478149
2014,3,-0.9961869120597839
2014,3,0.9947108030319214
2014,3,0.9998422861099243
2014,3,-0.9798997044563293
2014,3,-0.9819239974021912
2014,3,0.9994801878929138
2014,3,0.9265664219856262
2014,3,-0.9993288516998291
2014,2,0.9928812980651855
2014,2,-0.999259889125824
2014,2,-0.995073139667511
2014,2,0.9990416169166565
2014,2,-0.9795292019844055
2014,2,-0.8057961463928223
2014,2,0.9631808400154114
2014,2,0.9943992495536804
2014,2,-0.9983419179916382
2014,2,-0.999527096748352
2014,2,-0.9609485268592834
2014,1,-0.9993730187416077
2014,1,0.9997721314430237
2014,1,-0.7506260871887207
2014,1,0.998461127281189
2014,1,-0.8793321251869202
2014,1,-0.9905462265014648
2014,1,0.9996563196182251
2013,4,0.9952131509780884
2013,4,0.6214829683303833
2013,4,0.7651438117027283
2013,4,0.9940028786659241
2013,4,0.9956178665161133
2013,4,0.9993890523910522
2013,4,-0.9997537732124329
2013,4,-0.9791097640991211
2013,4,0.9845357537269592
2013,4,-0.9967106580734253
2013,4,-0.9927145838737488
2013,4,0.9938814640045166
2013,4,-0.5117484331130981
2013,4,-0.9869753122329712
2013,4,0.6620072722434998
2013,4,0.9996681213378906
2013,3,-0.9831143617630005
2013,3,-0.9995536208152771
2013,3,0.9995086193084717
2013,3,-0.5577347278594971
2013,3,0.9941366910934448
2013,2,-0.9663271903991699
2013,2,-0.9905789494514465
2013,2,0.9701116681098938
2013,2,0.9998182654380798
2013,2,-0.9971749782562256
2013,2,0.9990918636322021
2013,2,-0.999125063419342
2013,2,0.9829580187797546
2013,2,-0.9997795224189758
2013,2,0.9953076243400574
2013,2,0.8858836889266968
2013,2,-0.9993600249290466
2013,2,0.9985895752906799
2013,2,0.9996119141578674
2013,2,-0.835390031337738
2013,2,-0.9996252059936523
2013,2,0.9995949864387512
2013,1,-0.7114461064338684
2013,1,-0.9990647435188293
2013,1,-0.9967155456542969
2013,1,-0.958397388458252
2013,1,0.6327884197235107
2013,1,-0.9893729090690613
2013,1,0.9910176992416382
2013,1,0.9983810186386108
2012,4,0.9894408583641052
2012,4,0.9970634579658508
2012,4,-0.9040681719779968
2012,4,0.9863860607147217
2012,4,-0.9228172302246094
2012,4,0.9952539205551147
2012,4,-0.9998112320899963
2012,4,-0.9777089357376099
2012,4,-0.9986966252326965
2012,4,0.9976329803466797
2012,4,-0.8689457774162292
2012,4,0.9991651773452759
2012,3,0.9385606050491333
2012,3,0.9995468258857727
2012,3,0.9997747540473938
2012,3,0.9994891881942749
2012,3,-0.9718100428581238
2012,3,-0.8248741626739502
2012,2,-0.9808973670005798
2012,2,-0.9990159273147583
2012,2,0.9955493211746216
2012,2,0.9799342751502991
2012,2,0.9332929849624634
2012,2,-0.999258816242218
2012,2,-0.9977980852127075
2012,2,0.9997623562812805
2012,1,0.999433696269989
2012,1,0.9998812675476074
